poblacion,provincia
Cañada Juncosa,Castilla La Mancha
Cañamares,Castilla La Mancha
Cañavate (El),Castilla La Mancha
Cañaveras,Castilla La Mancha
Cañaveruelas,Castilla La Mancha
Cañete,Castilla La Mancha
Cañizar,Castilla La Mancha
Cañizares,Castilla La Mancha
Cebolla,Castilla La Mancha
Cedillo del Condado,Castilla La Mancha
Cendejas de Enmedio,Castilla La Mancha
Cendejas de la Torre,Castilla La Mancha
Cenizate,Castilla La Mancha
Centenera,Castilla La Mancha
Cerralbos (Los),Castilla La Mancha
Cervera de los Montes,Castilla La Mancha
Cervera del Llano,Castilla La Mancha
Checa,Castilla La Mancha
Chequilla,Castilla La Mancha
Chillarón de Cuenca,Castilla La Mancha
Chillarón del Rey,Castilla La Mancha
Chillón,Castilla La Mancha
Chiloeches,Castilla La Mancha
Chinchilla de Monte-Aragón,Castilla La Mancha
Chozas de Canales,Castilla La Mancha
Chueca,Castilla La Mancha
Chumillas,Castilla La Mancha
Cierva (La),Castilla La Mancha
Cifuentes,Castilla La Mancha
Cincovillas,Castilla La Mancha
Ciruelas,Castilla La Mancha
Ciruelos,Castilla La Mancha
Ciruelos del Pinar,Castilla La Mancha
Ciudad Real,Castilla La Mancha
Cobeja,Castilla La Mancha
Cobeta,Castilla La Mancha
Cobisa,Castilla La Mancha
Cogollor,Castilla La Mancha
Cogolludo,Castilla La Mancha
Condemios de Abajo,Castilla La Mancha
Condemios de Arriba,Castilla La Mancha
Congostrina,Castilla La Mancha
Consuegra,Castilla La Mancha
Copernal,Castilla La Mancha
Corduente,Castilla La Mancha
Corral de Almaguer,Castilla La Mancha
Corral de Calatrava,Castilla La Mancha
Corral-Rubio,Castilla La Mancha
Cortijos (Los),Castilla La Mancha
Cotillas,Castilla La Mancha
Cubillo de Uceda (El),Castilla La Mancha
Cuenca,Castilla La Mancha
Cuerva,Castilla La Mancha
Cueva del Hierro,Castilla La Mancha
Cózar,Castilla La Mancha
Daimiel,Castilla La Mancha
Domingo Pérez,Castilla La Mancha
Dosbarrios,Castilla La Mancha
Driebes,Castilla La Mancha
Durón,Castilla La Mancha
Elche de la Sierra,Castilla La Mancha
Embid,Castilla La Mancha
Enguídanos,Castilla La Mancha
Erustes,Castilla La Mancha
Escalona,Castilla La Mancha
Escalonilla,Castilla La Mancha
Escamilla,Castilla La Mancha
Escariche,Castilla La Mancha
Escopete,Castilla La Mancha
Espinosa de Henares,Castilla La Mancha
Espinoso del Rey,Castilla La Mancha
Esplegares,Castilla La Mancha
Esquivias,Castilla La Mancha
Establés,Castilla La Mancha
Estrella (La),Castilla La Mancha
Estriégana,Castilla La Mancha
Fernán Caballero,Castilla La Mancha
Fontanar,Castilla La Mancha
Fontanarejo,Castilla La Mancha
Fresneda de Altarejos,Castilla La Mancha
Fresneda de la Sierra,Castilla La Mancha
Frontera (La),Castilla La Mancha
Fuembellida,Castilla La Mancha
Fuencaliente,Castilla La Mancha
Fuencemillán,Castilla La Mancha
Fuenllana,Castilla La Mancha
Fuensalida,Castilla La Mancha
Fuensanta,Castilla La Mancha
Fuente de Pedro Naharro,Castilla La Mancha
Fuente el Fresno,Castilla La Mancha
Fuente-Álamo,Castilla La Mancha
Fuentealbilla,Castilla La Mancha
Fuentelahiguera de Albatages,Castilla La Mancha
Fuentelencina,Castilla La Mancha
Fuentelespino de Haro,Castilla La Mancha
Fuentelespino de Moya,Castilla La Mancha
Fuentelsaz,Castilla La Mancha
Fuentelviejo,Castilla La Mancha
Fuentenava de Jábaga,Castilla La Mancha
Fuentenovilla,Castilla La Mancha
Fuentes,Castilla La Mancha
Fuertescusa,Castilla La Mancha
Férez,Castilla La Mancha
Gabaldón,Castilla La Mancha
Gajanejos,Castilla La Mancha
Galve de Sorbe,Castilla La Mancha
Galápagos,Castilla La Mancha
Garaballa,Castilla La Mancha
Garciotum,Castilla La Mancha
Gascueña,Castilla La Mancha
Gascueña de Bornova,Castilla La Mancha
Gerindote,Castilla La Mancha
Gineta (La),Castilla La Mancha
Golosalvo,Castilla La Mancha
Graja de Campalbo,Castilla La Mancha
Graja de Iniesta,Castilla La Mancha
Granátula de Calatrava,Castilla La Mancha
Guadalajara,Castilla La Mancha
Guadalmez,Castilla La Mancha
Guadamur,Castilla La Mancha
Guardia (La),Castilla La Mancha
Gálvez,Castilla La Mancha
Hellín,Castilla La Mancha
Henarejos,Castilla La Mancha
Henche,Castilla La Mancha
Heras de Ayuso,Castilla La Mancha
Herencia,Castilla La Mancha
Herencias (Las),Castilla La Mancha
Herrera (La),Castilla La Mancha
Herreruela de Oropesa,Castilla La Mancha
Herrería,Castilla La Mancha
Herrumblar (El),Castilla La Mancha
Hiendelaencina,Castilla La Mancha
Higueruela,Castilla La Mancha
Hijes,Castilla La Mancha
Hinojosa (La),Castilla La Mancha
Hinojosa de San Vicente,Castilla La Mancha
Hinojosas de Calatrava,Castilla La Mancha
Hinojosos (Los),Castilla La Mancha
Hita,Castilla La Mancha
Hito (El),Castilla La Mancha
Hombrados,Castilla La Mancha
Honrubia,Castilla La Mancha
Hontanar,Castilla La Mancha
Hontanaya,Castilla La Mancha
Hontecillas,Castilla La Mancha
Hontoba,Castilla La Mancha
Horcajo de los Montes,Castilla La Mancha
Horcajo de Santiago,Castilla La Mancha
Horche,Castilla La Mancha
Hormigos,Castilla La Mancha
Hortezuela de Océn,Castilla La Mancha
Hoya-Gonzalo,Castilla La Mancha
Huecas,Castilla La Mancha
Huelves,Castilla La Mancha
Huerce (La),Castilla La Mancha
Huerta de la Obispalía,Castilla La Mancha
Huerta de Valdecarábanos,Castilla La Mancha
Huerta del Marquesado,Castilla La Mancha
Huertahernando,Castilla La Mancha
Huete,Castilla La Mancha
Hueva,Castilla La Mancha
Humanes,Castilla La Mancha
Huélamo,Castilla La Mancha
Huérguina,Castilla La Mancha
Huérmeces del Cerro,Castilla La Mancha
Iglesuela (La),Castilla La Mancha
Illana,Castilla La Mancha
Illescas,Castilla La Mancha
Illán de Vacas,Castilla La Mancha
Iniesta,Castilla La Mancha
Iniéstola,Castilla La Mancha
Inviernas (Las),Castilla La Mancha
Irueste,Castilla La Mancha
Jadraque,Castilla La Mancha
Jirueque,Castilla La Mancha
Jorquera,Castilla La Mancha
Labores (Las),Castilla La Mancha
Lagartera,Castilla La Mancha
Laguna del Marquesado,Castilla La Mancha
Lagunaseca,Castilla La Mancha
Landete,Castilla La Mancha
Layos,Castilla La Mancha
Ledanca,Castilla La Mancha
Ledaña,Castilla La Mancha
Leganiel,Castilla La Mancha
Letur,Castilla La Mancha
Lezuza,Castilla La Mancha
Lillo,Castilla La Mancha
Liétor,Castilla La Mancha
Llanos del Caudillo,Castilla La Mancha
Lominchar,Castilla La Mancha
Loranca de Tajuña,Castilla La Mancha
Luciana,Castilla La Mancha
Lucillos,Castilla La Mancha
Lupiana,Castilla La Mancha
Luzaga,Castilla La Mancha
Luzón,Castilla La Mancha
Madridejos,Castilla La Mancha
Madrigueras,Castilla La Mancha
Magán,Castilla La Mancha
Mahora,Castilla La Mancha
Majadas (Las),Castilla La Mancha
Majaelrayo,Castilla La Mancha
Malaguilla,Castilla La Mancha
Malagón,Castilla La Mancha
Malpica de Tajo,Castilla La Mancha
Mandayona,Castilla La Mancha
Mantiel,Castilla La Mancha
Manzanares,Castilla La Mancha
Manzaneque,Castilla La Mancha
Maqueda,Castilla La Mancha
Maranchón,Castilla La Mancha
Marchamalo,Castilla La Mancha
Mariana,Castilla La Mancha
Marjaliza,Castilla La Mancha
Marrupe,Castilla La Mancha
Mascaraque,Castilla La Mancha
Masegosa,Castilla La Mancha
Masegoso,Castilla La Mancha
Masegoso de Tajuña,Castilla La Mancha
Mata (La),Castilla La Mancha
Matarrubia,Castilla La Mancha
Matillas,Castilla La Mancha
Mazarambroz,Castilla La Mancha
Mazarete,Castilla La Mancha
Mazuecos,Castilla La Mancha
Medranda,Castilla La Mancha
Megina,Castilla La Mancha
Mejorada,Castilla La Mancha
Membrilla,Castilla La Mancha
Membrillera,Castilla La Mancha
Menasalbas,Castilla La Mancha
Mesas (Las),Castilla La Mancha
Mesegar de Tajo,Castilla La Mancha
Mestanza,Castilla La Mancha
Miedes de Atienza,Castilla La Mancha
Mierla (La),Castilla La Mancha
Miguel Esteban,Castilla La Mancha
Miguelturra,Castilla La Mancha
Millana,Castilla La Mancha
Milmarcos,Castilla La Mancha
Minaya,Castilla La Mancha
Minglanilla,Castilla La Mancha
Mira,Castilla La Mancha
Mirabueno,Castilla La Mancha
Miralrío,Castilla La Mancha
Miñosa (La),Castilla La Mancha
Mocejón,Castilla La Mancha
Mochales,Castilla La Mancha
Mohedas de la Jara,Castilla La Mancha
Mohernando,Castilla La Mancha
Molina de Aragón,Castilla La Mancha
Molinicos,Castilla La Mancha
Monasterio,Castilla La Mancha
Mondéjar,Castilla La Mancha
Monreal del Llano,Castilla La Mancha
Montalbanejo,Castilla La Mancha
Montalbo,Castilla La Mancha
Montalvos,Castilla La Mancha
Montarrón,Castilla La Mancha
Monteagudo de las Salinas,Castilla La Mancha
Montealegre del Castillo,Castilla La Mancha
Montearagón,Castilla La Mancha
Montesclaros,Castilla La Mancha
Montiel,Castilla La Mancha
Mora,Castilla La Mancha
Moral de Calatrava,Castilla La Mancha
Moratilla de los Meleros,Castilla La Mancha
Morenilla,Castilla La Mancha
Mota de Altarejos,Castilla La Mancha
Mota del Cuervo,Castilla La Mancha
Motilla del Palancar,Castilla La Mancha
Motilleja,Castilla La Mancha
Moya,Castilla La Mancha
Muduex,Castilla La Mancha
Munera,Castilla La Mancha
Málaga del Fresno,Castilla La Mancha
Méntrida,Castilla La Mancha
Nambroca,Castilla La Mancha
Narboneta,Castilla La Mancha
Nava de Ricomalillo (La),Castilla La Mancha
Navahermosa,Castilla La Mancha
Navalcán,Castilla La Mancha
Navalmoralejo,Castilla La Mancha
Navalmorales (Los),Castilla La Mancha
Navalpino,Castilla La Mancha
Navalucillos (Los),Castilla La Mancha
Navamorcuende,Castilla La Mancha
Navas de Estena,Castilla La Mancha
Navas de Jadraque (Las),Castilla La Mancha
Navas de Jorquera,Castilla La Mancha
Negredo,Castilla La Mancha
Nerpio,Castilla La Mancha
Noblejas,Castilla La Mancha
Noez,Castilla La Mancha
Nombela,Castilla La Mancha
Novés,Castilla La Mancha
Numancia de la Sagra,Castilla La Mancha
Nuño Gómez,Castilla La Mancha
Ocaña,Castilla La Mancha
Ocentejo,Castilla La Mancha
Olivar (El),Castilla La Mancha
Olivares de Júcar,Castilla La Mancha
Olmeda de Cobeta,Castilla La Mancha
Olmeda de Jadraque (La),Castilla La Mancha
Olmeda de la Cuesta,Castilla La Mancha
Olmeda del Rey,Castilla La Mancha
Olmedilla de Alarcón,Castilla La Mancha
Olmedilla de Eliz,Castilla La Mancha
Olías del Rey,Castilla La Mancha
Ontur,Castilla La Mancha
Ontígola,Castilla La Mancha
Ordial (El),Castilla La Mancha
Orea,Castilla La Mancha
Orgaz,Castilla La Mancha
Oropesa,Castilla La Mancha
Osa de la Vega,Castilla La Mancha
Ossa de Montiel,Castilla La Mancha
Otero,Castilla La Mancha
Pajaroncillo,Castilla La Mancha
Pajarón,Castilla La Mancha
Palomares del Campo,Castilla La Mancha
Palomeque,Castilla La Mancha
Palomera,Castilla La Mancha
Pantoja,Castilla La Mancha
Paracuellos,Castilla La Mancha
Pardos,Castilla La Mancha
Paredes,Castilla La Mancha
Paredes de Escalona,Castilla La Mancha
Paredes de Sigüenza,Castilla La Mancha
Pareja,Castilla La Mancha
Parra de las Vegas (La),Castilla La Mancha
Parrillas,Castilla La Mancha
Pastrana,Castilla La Mancha
Paterna del Madera,Castilla La Mancha
Pedernoso (El),Castilla La Mancha
Pedregal (El),Castilla La Mancha
Pedro Muñoz,Castilla La Mancha
Pedroñeras (Las),Castilla La Mancha
Pelahustán,Castilla La Mancha
Pepino,Castilla La Mancha
Peral (El),Castilla La Mancha
Peraleja (La),Castilla La Mancha
Peralejos de las Truchas,Castilla La Mancha
Peralveche,Castilla La Mancha
Pesquera (La),Castilla La Mancha
Peñalver,Castilla La Mancha
Peñalén,Castilla La Mancha
Peñas de San Pedro,Castilla La Mancha
Peñascosa,Castilla La Mancha
Picazo (El),Castilla La Mancha
Picón,Castilla La Mancha
Piedrabuena,Castilla La Mancha
Pinarejo,Castilla La Mancha
Pineda de Gigüela,Castilla La Mancha
Pinilla de Jadraque,Castilla La Mancha
Pinilla de Molina,Castilla La Mancha
Pioz,Castilla La Mancha
Piqueras,Castilla La Mancha
Piqueras del Castillo,Castilla La Mancha
Poblete,Castilla La Mancha
Pobo de Dueñas (El),Castilla La Mancha
Polán,Castilla La Mancha
Portalrubio de Guadamejud,Castilla La Mancha
Portilla,Castilla La Mancha
Portillo de Toledo,Castilla La Mancha
Porzuna,Castilla La Mancha
Poveda de la Sierra,Castilla La Mancha
Povedilla,Castilla La Mancha
Poyatos,Castilla La Mancha
Pozo Cañada,Castilla La Mancha
Pozo de Almoguera,Castilla La Mancha
Pozo de Guadalajara,Castilla La Mancha
Pozo-Lorente,Castilla La Mancha
Pozoamargo,Castilla La Mancha
Pozohondo,Castilla La Mancha
Pozorrubielos de la Mancha,Castilla La Mancha
Pozorrubio,Castilla La Mancha
Pozuelo,Castilla La Mancha
Pozuelo (El),Castilla La Mancha
Pozuelo de Calatrava,Castilla La Mancha
Pozuelos de Calatrava (Los),Castilla La Mancha
Prados Redondos,Castilla La Mancha
Priego,Castilla La Mancha
Provencio (El),Castilla La Mancha
Prádena de Atienza,Castilla La Mancha
Puebla de Almenara,Castilla La Mancha
Puebla de Almoradiel (La),Castilla La Mancha
Puebla de Beleña,Castilla La Mancha
Puebla de Don Francisco,Castilla La Mancha
Puebla de Don Rodrigo,Castilla La Mancha
Puebla de Montalbán (La),Castilla La Mancha
Puebla de Valles,Castilla La Mancha
Puebla del Príncipe,Castilla La Mancha
Puebla del Salvador,Castilla La Mancha
Pueblanueva (La),Castilla La Mancha
Puente del Arzobispo (El),Castilla La Mancha
Puerto de San Vicente,Castilla La Mancha
Puerto Lápice,Castilla La Mancha
Puertollano,Castilla La Mancha
Pulgar,Castilla La Mancha
Pálmaces de Jadraque,Castilla La Mancha
Pétrola,Castilla La Mancha
Quer,Castilla La Mancha
Quero,Castilla La Mancha
Quintanar de la Orden,Castilla La Mancha
Quintanar del Rey,Castilla La Mancha
Quismondo,Castilla La Mancha
Rada de Haro,Castilla La Mancha
Real de San Vicente (El),Castilla La Mancha
Rebollosa de Jadraque,Castilla La Mancha
Recas,Castilla La Mancha
Recueja (La),Castilla La Mancha
Recuenco (El),Castilla La Mancha
Renera,Castilla La Mancha
Retamoso de la Jara,Castilla La Mancha
Retiendas,Castilla La Mancha
Retuerta del Bullaque,Castilla La Mancha
Reíllo,Castilla La Mancha
Riba de Saelices,Castilla La Mancha
Rielves,Castilla La Mancha
Rillo de Gallo,Castilla La Mancha
Riofrío del Llano,Castilla La Mancha
Riópar,Castilla La Mancha
Robledillo de Mohernando,Castilla La Mancha
Robledo,Castilla La Mancha
Robledo (El),Castilla La Mancha
Robledo de Corpes,Castilla La Mancha
Robledo del Mazo,Castilla La Mancha
Roda (La),Castilla La Mancha
Romanillos de Atienza,Castilla La Mancha
Romanones,Castilla La Mancha
Romeral (El),Castilla La Mancha
Rozalén del Monte,Castilla La Mancha
Rueda de la Sierra,Castilla La Mancha
Ruidera,Castilla La Mancha
Sacecorbo,Castilla La Mancha
Saceda-Trasierra,Castilla La Mancha
Sacedón,Castilla La Mancha
Saceruela,Castilla La Mancha
Saelices,Castilla La Mancha
Saelices de la Sal,Castilla La Mancha
Salinas del Manzano,Castilla La Mancha
Salmeroncillos,Castilla La Mancha
Salmerón,Castilla La Mancha
Salobre,Castilla La Mancha
Salvacañete,Castilla La Mancha
San Andrés del Congosto,Castilla La Mancha
San Andrés del Rey,Castilla La Mancha
San Bartolomé de las Abiertas,Castilla La Mancha
San Carlos del Valle,Castilla La Mancha
San Clemente,Castilla La Mancha
San Lorenzo de Calatrava,Castilla La Mancha
San Lorenzo de la Parrilla,Castilla La Mancha
San Martín de Boniches,Castilla La Mancha
San Martín de Montalbán,Castilla La Mancha
San Martín de Pusa,Castilla La Mancha
San Pablo de los Montes,Castilla La Mancha
San Pedro,Castilla La Mancha
San Pedro Palmiches,Castilla La Mancha
San Román de los Montes,Castilla La Mancha
Santa Ana de Pusa,Castilla La Mancha
Santa Cruz de la Zarza,Castilla La Mancha
Santa Cruz de los Cáñamos,Castilla La Mancha
Santa Cruz de Moya,Castilla La Mancha
Santa Cruz de Mudela,Castilla La Mancha
Santa Cruz del Retamar,Castilla La Mancha
Santa María de los Llanos,Castilla La Mancha
Santa María del Campo Rus,Castilla La Mancha
Santa María del Val,Castilla La Mancha
Santa Olalla,Castilla La Mancha
Santiuste,Castilla La Mancha
Santo Domingo-Caudilla,Castilla La Mancha
Sartajada,Castilla La Mancha
Sayatón,Castilla La Mancha
Saúca,Castilla La Mancha
Segurilla,Castilla La Mancha
Selas,Castilla La Mancha
Semillas,Castilla La Mancha
Seseña,Castilla La Mancha
Setiles,Castilla La Mancha
Sevilleja de la Jara,Castilla La Mancha
Sienes,Castilla La Mancha
Sigüenza,Castilla La Mancha
Sisante,Castilla La Mancha
Socovos,Castilla La Mancha
Socuéllamos,Castilla La Mancha
Solana (La),Castilla La Mancha
Solana del Pino,Castilla La Mancha
Solanillos del Extremo,Castilla La Mancha
Solera de Gabaldón,Castilla La Mancha
Somolinos,Castilla La Mancha
Sonseca,Castilla La Mancha
Sotillo (El),Castilla La Mancha
Sotillo de las Palomas,Castilla La Mancha
Sotodosos,Castilla La Mancha
Sotorribas,Castilla La Mancha
Talavera de la Reina,Castilla La Mancha
Talayuelas,Castilla La Mancha
Tamajón,Castilla La Mancha
Taragudo,Castilla La Mancha
Tarancón,Castilla La Mancha
Taravilla,Castilla La Mancha
Tarazona de la Mancha,Castilla La Mancha
Tartanedo,Castilla La Mancha
Tejadillos,Castilla La Mancha
Tembleque,Castilla La Mancha
Tendilla,Castilla La Mancha
Terrinches,Castilla La Mancha
Terzaga,Castilla La Mancha
Tierzo,Castilla La Mancha
Tinajas,Castilla La Mancha
Toba (La),Castilla La Mancha
Tobarra,Castilla La Mancha
Toboso (El),Castilla La Mancha
Toledo,Castilla La Mancha
Tomelloso,Castilla La Mancha
Tordellego,Castilla La Mancha
Tordelrábano,Castilla La Mancha
Tordesilos,Castilla La Mancha
Torija,Castilla La Mancha
Torralba,Castilla La Mancha
Torralba de Calatrava,Castilla La Mancha
Torralba de Oropesa,Castilla La Mancha
Torre de Esteban Hambrán (La),Castilla La Mancha
Torre de Juan Abad,Castilla La Mancha
Torre del Burgo,Castilla La Mancha
Torrecilla de la Jara,Castilla La Mancha
Torrecuadrada de Molina,Castilla La Mancha
Torrecuadradilla,Castilla La Mancha
Torrejoncillo del Rey,Castilla La Mancha
Torrejón del Rey,Castilla La Mancha
Torremocha de Jadraque,Castilla La Mancha
Torremocha del Campo,Castilla La Mancha
Torremocha del Pinar,Castilla La Mancha
Torremochuela,Castilla La Mancha
Torrenueva,Castilla La Mancha
Torrico,Castilla La Mancha
Torrijos,Castilla La Mancha
Torrubia,Castilla La Mancha
Torrubia del Campo,Castilla La Mancha
Torrubia del Castillo,Castilla La Mancha
Tortuera,Castilla La Mancha
Tortuero,Castilla La Mancha
Totanés,Castilla La Mancha
Tragacete,Castilla La Mancha
Traíd,Castilla La Mancha
Tresjuncos,Castilla La Mancha
Tribaldos,Castilla La Mancha
Trijueque,Castilla La Mancha
Trillo,Castilla La Mancha
Turleque,Castilla La Mancha
Tébar,Castilla La Mancha
Tórtola de Henares,Castilla La Mancha
Uceda,Castilla La Mancha
Uclés,Castilla La Mancha
Ugena,Castilla La Mancha
Ujados,Castilla La Mancha
Urda,Castilla La Mancha
Utande,Castilla La Mancha
Uña,Castilla La Mancha
Valdarachas,Castilla La Mancha
Valdearenas,Castilla La Mancha
Valdeavellano,Castilla La Mancha
Valdeaveruelo,Castilla La Mancha
Valdecolmenas (Los),Castilla La Mancha
Valdeconcha,Castilla La Mancha
Valdeganga,Castilla La Mancha
Valdegrudas,Castilla La Mancha
Valdelcubo,Castilla La Mancha
Valdemanco del Esteras,Castilla La Mancha
Valdemeca,Castilla La Mancha
Valdemorillo de la Sierra,Castilla La Mancha
Valdemoro-Sierra,Castilla La Mancha
Valdenuño Fernández,Castilla La Mancha
Valdeolivas,Castilla La Mancha
Valdepeñas,Castilla La Mancha
Valdepeñas de la Sierra,Castilla La Mancha
Valderrebollo,Castilla La Mancha
Valdesotos,Castilla La Mancha
Valdetórtola,Castilla La Mancha
Valdeverdeja,Castilla La Mancha
Valenzuela de Calatrava,Castilla La Mancha
Valeras (Las),Castilla La Mancha
Valfermoso de Tajuña,Castilla La Mancha
Valhermoso,Castilla La Mancha
Valhermoso de la Fuente,Castilla La Mancha
Valmojado,Castilla La Mancha
Valsalobre,Castilla La Mancha
Valtablado del Río,Castilla La Mancha
Valverde de Júcar,Castilla La Mancha
Valverde de los Arroyos,Castilla La Mancha
Valverdejo,Castilla La Mancha
Vara de Rey,Castilla La Mancha
Vega del Codorno,Castilla La Mancha
Velada,Castilla La Mancha
Vellisca,Castilla La Mancha
Ventas con Peña Aguilera (Las),Castilla La Mancha
Ventas de Retamosa (Las),Castilla La Mancha
Ventas de San Julián (Las),Castilla La Mancha
Viana de Jadraque,Castilla La Mancha
Vianos,Castilla La Mancha
Villa de Don Fadrique (La),Castilla La Mancha
Villa de Ves,Castilla La Mancha
Villacañas,Castilla La Mancha
Villaconejos de Trabaque,Castilla La Mancha
Villaescusa de Haro,Castilla La Mancha
Villafranca de los Caballeros,Castilla La Mancha
Villagarcía del Llano,Castilla La Mancha
Villahermosa,Castilla La Mancha
Villalba de la Sierra,Castilla La Mancha
Villalba del Rey,Castilla La Mancha
Villalgordo del Júcar,Castilla La Mancha
Villalgordo del Marquesado,Castilla La Mancha
Villalpardo,Castilla La Mancha
Villaluenga de la Sagra,Castilla La Mancha
Villamalea,Castilla La Mancha
Villamanrique,Castilla La Mancha
Villamayor de Calatrava,Castilla La Mancha
Villamayor de Santiago,Castilla La Mancha
Villamiel de Toledo,Castilla La Mancha
Villaminaya,Castilla La Mancha
Villamuelas,Castilla La Mancha
Villanueva de Alcardete,Castilla La Mancha
Villanueva de Alcorón,Castilla La Mancha
Villanueva de Argecilla,Castilla La Mancha
Villanueva de Bogas,Castilla La Mancha
Villanueva de Guadamejud,Castilla La Mancha
Villanueva de la Fuente,Castilla La Mancha
Villanueva de la Jara,Castilla La Mancha
Villanueva de la Torre,Castilla La Mancha
Villanueva de los Infantes,Castilla La Mancha
Villanueva de San Carlos,Castilla La Mancha
Villapalacios,Castilla La Mancha
Villar de Cañas,Castilla La Mancha
Villar de Domingo García,Castilla La Mancha
Villar de la Encina,Castilla La Mancha
Villar de Olalla,Castilla La Mancha
Villar del Humo,Castilla La Mancha
Villar del Infantado,Castilla La Mancha
Villar del Pozo,Castilla La Mancha
Villar y Velasco,Castilla La Mancha
Villarejo de Fuentes,Castilla La Mancha
Villarejo de la Peñuela,Castilla La Mancha
Villarejo de Montalbán,Castilla La Mancha
Villarejo-Periesteban,Castilla La Mancha
Villares de Jadraque,Castilla La Mancha
Villares del Saz,Castilla La Mancha
Villarrobledo,Castilla La Mancha
Villarrubia de los Ojos,Castilla La Mancha
Villarrubia de Santiago,Castilla La Mancha
Villarrubio,Castilla La Mancha
Villarta,Castilla La Mancha
Villarta de San Juan,Castilla La Mancha
Villas de la Ventosa,Castilla La Mancha
Villaseca de Henares,Castilla La Mancha
Villaseca de la Sagra,Castilla La Mancha
Villaseca de Uceda,Castilla La Mancha
Villasequilla,Castilla La Mancha
Villatobas,Castilla La Mancha
Villatoya,Castilla La Mancha
Villavaliente,Castilla La Mancha
Villaverde de Guadalimar,Castilla La Mancha
Villaverde y Pasaconsol,Castilla La Mancha
Villel de Mesa,Castilla La Mancha
Vindel,Castilla La Mancha
Viso de San Juan (El),Castilla La Mancha
Viso del Marqués,Castilla La Mancha
Viveros,Castilla La Mancha
Viñuelas,Castilla La Mancha
Víllora,Castilla La Mancha
Yebes,Castilla La Mancha
Yebra,Castilla La Mancha
Yeles,Castilla La Mancha
Yepes,Castilla La Mancha
Yeste,Castilla La Mancha
Yuncler,Castilla La Mancha
Yunclillos,Castilla La Mancha
Yuncos,Castilla La Mancha
Yunquera de Henares,Castilla La Mancha
Yunta (La),Castilla La Mancha
Yébenes (Los),Castilla La Mancha
Yélamos de Abajo,Castilla La Mancha
Yélamos de Arriba,Castilla La Mancha
Yémeda,Castilla La Mancha
Zafra de Záncara,Castilla La Mancha
Zafrilla,Castilla La Mancha
Zaorejas,Castilla La Mancha
Zarza de Tajo,Castilla La Mancha
Zarzuela,Castilla La Mancha
Zarzuela de Jadraque,Castilla La Mancha
Zorita de los Canes,Castilla La Mancha
Abades,Castilla León
Abajas,Castilla León
Abarca de Campos,Castilla León
Abejar,Castilla León
Abezames,Castilla León
Abia de las Torres,Castilla León
Abusejo,Castilla León
Acebedo,Castilla León
Adalia,Castilla León
Adanero,Castilla León
Adrada (La),Castilla León
Adrada de Haza,Castilla León
Adrada de Pirón,Castilla León
Adradas,Castilla León
Adrados,Castilla León
Agallas,Castilla León
Aguas Cándidas,Castilla León
Aguasal,Castilla León
Aguilafuente,Castilla León
Aguilar de Bureba,Castilla León
Aguilar de Campoo,Castilla León
Aguilar de Campos,Castilla León
Ahigal de los Aceiteros,Castilla León
Ahigal de Villarino,Castilla León
Alaejos,Castilla León
Alameda de Gardón (La),Castilla León
Alamedilla (La),Castilla León
Alar del Rey,Castilla León
Alaraz,Castilla León
Alba de Cerrato,Castilla León
Alba de Tormes,Castilla León
Alba de Yeltes,Castilla León
Alberca (La),Castilla León
Alberguería de Argañán (La),Castilla León
Albillos,Castilla León
Albornos,Castilla León
Alcazarén,Castilla León
Alcañices,Castilla León
Alcocero de Mola,Castilla León
Alconaba,Castilla León
Alconada,Castilla León
Alconada de Maderuelo,Castilla León
Alcubilla de Avellaneda,Castilla León
Alcubilla de las Peñas,Castilla León
Alcubilla de Nogales,Castilla León
Aldea de San Miguel,Castilla León
Aldea del Obispo,Castilla León
Aldea Real,Castilla León
Aldeacipreste,Castilla León
Aldeadávila de la Ribera,Castilla León
Aldealafuente,Castilla León
Aldealcorvo,Castilla León
Aldealengua,Castilla León
Aldealengua de Pedraza,Castilla León
Aldealengua de Santa María,Castilla León
Aldealices,Castilla León
Aldealpozo,Castilla León
Aldealseñor,Castilla León
Aldeamayor de San Martín,Castilla León
Aldeanueva de Figueroa,Castilla León
Aldeanueva de la Serrezuela,Castilla León
Aldeanueva de la Sierra,Castilla León
Aldeanueva de Santa Cruz,Castilla León
Aldeanueva del Codonal,Castilla León
Aldearrodrigo,Castilla León
Aldearrubia,Castilla León
Aldeaseca,Castilla León
Aldeaseca de Alba,Castilla León
Aldeaseca de la Frontera,Castilla León
Aldeasoña,Castilla León
Aldeatejada,Castilla León
Aldeavieja de Tormes,Castilla León
Aldehorno,Castilla León
Aldehuela (La),Castilla León
Aldehuela de la Bóveda,Castilla León
Aldehuela de Periáñez,Castilla León
Aldehuela de Yeltes,Castilla León
Aldehuela del Codonal,Castilla León
Aldehuelas (Las),Castilla León
Aldeonte,Castilla León
Alentisque,Castilla León
Alfaraz de Sayago,Castilla León
Alfoz de Bricia,Castilla León
Alfoz de Quintanadueñas,Castilla León
Alfoz de Santa Gadea,Castilla León
Algadefe,Castilla León
Algodre,Castilla León
Alija del Infantado,Castilla León
Aliud,Castilla León
Almajano,Castilla León
Almaluez,Castilla León
Almanza,Castilla León
Almaraz de Duero,Castilla León
Almarza,Castilla León
Almazul,Castilla León
Almazán,Castilla León
